Winkelposition, Messreihe #13
Zeit ( s )	Winkelposition ( rad )
0,0000	1,745
0,0200	1,872
0,0400	1,998
0,0600	2,125
0,0800	2,249
0,1000	2,372
0,1200	2,491
0,1400	2,609
0,1600	2,722
0,1800	2,831
0,2000	2,934
0,2200	3,035
0,2400	3,126
0,2600	3,212
0,2800	3,292
0,3000	3,365
0,3200	3,431
0,3400	3,487
0,3600	3,536
0,3800	3,575
0,4000	3,607
0,4200	3,629
0,4400	3,641
0,4600	3,644
0,4800	3,641
0,5000	3,627
0,5200	3,605
0,5400	3,575
0,5600	3,537
0,5800	3,490
0,6000	3,437
0,6200	3,376
0,6400	3,307
0,6600	3,231
0,6800	3,148
0,7000	3,060
0,7200	2,964
0,7400	2,864
0,7600	2,758
0,7800	2,647
0,8000	2,534
0,8200	2,416
0,8400	2,295
0,8600	2,171
0,8800	2,045
0,9000	1,920
0,9200	1,792
0,9400	1,665
0,9600	1,536
0,9800	1,411
1,0000	1,285
1,0200	1,162
1,0400	1,043
1,0600	0,927
1,0800	0,814
1,1000	0,705
1,1200	0,602
1,1400	0,503
1,1600	0,410
1,1800	0,324
1,2000	0,245
1,2200	0,171
1,2400	0,107
1,2600	0,050
1,2800	0,000
1,3000	-0,041
1,3200	-0,072
1,3400	-0,096
1,3600	-0,110
1,3800	-0,115
1,4000	-0,112
1,4200	-0,099
1,4400	-0,079
1,4600	-0,050
1,4800	-0,014
1,5000	0,030
1,5200	0,082
1,5400	0,140
1,5600	0,206
1,5800	0,278
1,6000	0,358
1,6200	0,445
1,6400	0,536
1,6600	0,635
1,6800	0,737
1,7000	0,844
1,7200	0,955
1,7400	1,071
1,7600	1,191
1,7800	1,312
1,8000	1,436
1,8200	1,561
1,8400	1,689
1,8600	1,814
1,8800	1,943
1,9000	2,069
1,9200	2,194
1,9400	2,317
1,9600	2,438
1,9800	2,557
2,0000	2,672
2,0200	2,783
2,0400	2,889
2,0600	2,991
2,0800	3,085
2,1000	3,175
2,1200	3,258
2,1400	3,333
2,1600	3,401
2,1800	3,462
2,2000	3,514
2,2200	3,558
2,2400	3,592
2,2600	3,619
2,2800	3,635
2,3000	3,643
2,3200	3,643
2,3400	3,633
2,3600	3,614
2,3800	3,588
2,4000	3,553
