Winkelposition, Messreihe #5
Zeit ( s )	Winkelposition ( rad )
0,0000	-0,188
0,0200	-0,294
0,0400	-0,397
0,0600	-0,498
0,0800	-0,595
0,1000	-0,690
0,1200	-0,781
0,1400	-0,866
0,1600	-0,946
0,1800	-1,019
0,2000	-1,089
0,2200	-1,151
0,2400	-1,206
0,2600	-1,253
0,2800	-1,294
0,3000	-1,327
0,3200	-1,352
0,3400	-1,370
0,3600	-1,378
0,3800	-1,379
0,4000	-1,371
0,4200	-1,356
0,4400	-1,334
0,4600	-1,304
0,4800	-1,266
0,5000	-1,222
0,5200	-1,170
0,5400	-1,114
0,5600	-1,049
0,5800	-0,979
0,6000	-0,903
0,6200	-0,822
0,6400	-0,737
0,6600	-0,646
0,6800	-0,551
0,7000	-0,454
0,7200	-0,353
0,7400	-0,250
0,7600	-0,145
0,7800	-0,039
0,8000	0,069
0,8200	0,176
0,8400	0,283
0,8600	0,388
0,8800	0,492
0,9000	0,594
0,9200	0,693
0,9400	0,789
0,9600	0,880
0,9800	0,968
1,0000	1,049
1,0200	1,126
1,0400	1,197
1,0600	1,261
1,0800	1,319
1,1000	1,370
1,1200	1,412
1,1400	1,447
1,1600	1,473
1,1800	1,492
1,2000	1,502
1,2200	1,503
1,2400	1,495
1,2600	1,481
1,2800	1,458
1,3000	1,426
1,3200	1,389
1,3400	1,343
1,3600	1,290
1,3800	1,230
1,4000	1,164
1,4200	1,092
1,4400	1,015
1,4600	0,931
1,4800	0,844
1,5000	0,751
1,5200	0,655
1,5400	0,556
1,5600	0,454
1,5800	0,349
1,6000	0,243
1,6200	0,135
1,6400	0,027
1,6600	-0,080
1,6800	-0,188
1,7000	-0,294
1,7200	-0,397
1,7400	-0,500
1,7600	-0,598
1,7800	-0,694
1,8000	-0,785
1,8200	-0,872
1,8400	-0,952
1,8600	-1,027
1,8800	-1,098
1,9000	-1,161
1,9200	-1,217
1,9400	-1,266
1,9600	-1,307
1,9800	-1,340
2,0000	-1,367
2,0200	-1,384
2,0400	-1,392
2,0600	-1,393
2,0800	-1,387
2,1000	-1,371
2,1200	-1,349
2,1400	-1,319
2,1600	-1,282
2,1800	-1,238
2,2000	-1,188
2,2200	-1,131
2,2400	-1,067
2,2600	-0,996
2,2800	-0,920
2,3000	-0,840
2,3200	-0,756
2,3400	-0,666
2,3600	-0,572
2,3800	-0,474
2,4000	-0,374
2,4200	-0,270
2,4400	-0,167
2,4600	-0,060
2,4800	0,047
2,5000	0,154
2,5200	0,261
2,5400	0,366
2,5600	0,471
2,5800	0,573
2,6000	0,672
2,6200	0,770
2,6400	0,862
2,6600	0,950
2,6800	1,034
2,7000	1,112
2,7200	1,184
2,7400	1,250
2,7600	1,310
2,7800	1,362
2,8000	1,404
2,8200	1,442
2,8400	1,469
2,8600	1,489
2,8800	1,500
2,9000	1,503
2,9200	1,499
2,9400	1,484
2,9600	1,462
2,9800	1,433
3,0000	1,396
3,0200	1,352
3,0400	1,301
3,0600	1,243
3,0800	1,178
3,1000	1,106
3,1200	1,030
3,1400	0,947
3,1600	0,861
3,1800	0,770
3,2000	0,672
3,2200	0,573
3,2400	0,471
3,2600	0,368
3,2800	0,261
3,3000	0,154
3,3200	0,044
3,3400	-0,063
3,3600	-0,171
3,3800	-0,278
3,4000	-0,383
3,4200	-0,485
3,4400	-0,586
3,4600	-0,682
3,4800	-0,774
3,5000	-0,862
3,5200	-0,944
3,5400	-1,021
3,5600	-1,092
3,5800	-1,156
3,6000	-1,213
3,6200	-1,263
3,6400	-1,305
3,6600	-1,340
3,6800	-1,367
3,7000	-1,385
3,7200	-1,396
3,7400	-1,398
3,7600	-1,392
3,7800	-1,378
3,8000	-1,357
3,8200	-1,327
3,8400	-1,291
3,8600	-1,247
3,8800	-1,197
3,9000	-1,140
3,9200	-1,076
3,9400	-1,007
3,9600	-0,931
3,9800	-0,850
4,0000	-0,765
4,0200	-0,674
4,0400	-0,580
4,0600	-0,481
4,0800	-0,379
4,1000	-0,275
4,1200	-0,170
4,1400	-0,061
4,1600	0,047
4,1800	0,156
4,2000	0,264
4,2200	0,372
4,2400	0,478
4,2600	0,581
4,2800	0,682
4,3000	0,779
4,3200	0,873
4,3400	0,963
4,3600	1,046
4,3800	1,126
4,4000	1,199
4,4200	1,264
4,4400	1,324
4,4600	1,376
4,4800	1,420
4,5000	1,458
4,5200	1,486
4,5400	1,506
4,5600	1,517
4,5800	1,521
4,6000	1,514
4,6200	1,502
4,6400	1,480
4,6600	1,450
4,6800	1,412
4,7000	1,368
4,7200	1,316
4,7400	1,257
4,7600	1,191
4,7800	1,120
4,8000	1,041
4,8200	0,960
4,8400	0,870
4,8600	0,778
4,8800	0,682
4,9000	0,581
4,9200	0,478
4,9400	0,372
4,9600	0,265
4,9800	0,157
5,0000	0,047
5,0200	-0,061
5,0400	-0,170
5,0600	-0,278
5,0800	-0,383
5,1000	-0,487
5,1200	-0,587
5,1400	-0,685
5,1600	-0,778
5,1800	-0,867
5,2000	-0,949
5,2200	-1,027
5,2400	-1,098
5,2600	-1,164
5,2800	-1,222
5,3000	-1,272
5,3200	-1,316
5,3400	-1,352
5,3600	-1,379
5,3800	-1,400
5,4000	-1,409
5,4200	-1,412
5,4400	-1,407
5,4600	-1,393
5,4800	-1,373
5,5000	-1,345
5,5200	-1,307
5,5400	-1,264
5,5600	-1,214
5,5800	-1,158
5,6000	-1,093
5,6200	-1,024
5,6400	-0,947
5,6600	-0,867
5,6800	-0,779
5,7000	-0,688
5,7200	-0,592
5,7400	-0,495
5,7600	-0,391
5,7800	-0,287
5,8000	-0,181
5,8200	-0,072
5,8400	0,036
5,8600	0,146
5,8800	0,254
5,9000	0,363
5,9200	0,470
5,9400	0,573
5,9600	0,675
5,9800	0,773
6,0000	0,867
6,0200	0,958
6,0400	1,043
6,0600	1,123
6,0800	1,197
6,1000	1,264
6,1200	1,326
6,1400	1,379
6,1600	1,425
6,1800	1,462
6,2000	1,491
6,2200	1,513
6,2400	1,525
6,2600	1,528
6,2800	1,525
6,3000	1,513
6,3200	1,491
6,3400	1,462
6,3600	1,425
6,3800	1,382
6,4000	1,330
6,4200	1,272
6,4400	1,208
6,4600	1,137
6,4800	1,060
6,5000	0,979
6,5200	0,892
6,5400	0,801
6,5600	0,705
6,5800	0,606
6,6000	0,503
6,6200	0,399
6,6400	0,294
6,6600	0,185
6,6800	0,077
6,7000	-0,031
6,7200	-0,140
6,7400	-0,247
6,7600	-0,352
6,7800	-0,456
6,8000	-0,556
6,8200	-0,653
6,8400	-0,748
6,8600	-0,836
6,8800	-0,920
6,9000	-0,997
6,9200	-1,071
6,9400	-1,137
6,9600	-1,195
6,9800	-1,249
7,0000	-1,293
7,0200	-1,330
7,0400	-1,359
7,0600	-1,381
7,0800	-1,393
7,1000	-1,398
7,1200	-1,395
7,1400	-1,382
7,1600	-1,363
7,1800	-1,337
7,2000	-1,304
7,2200	-1,263
7,2400	-1,214
7,2600	-1,161
7,2800	-1,100
7,3000	-1,032
7,3200	-0,960
7,3400	-0,881
7,3600	-0,798
7,3800	-0,710
7,4000	-0,617
7,4200	-0,522
7,4400	-0,421
7,4600	-0,319
7,4800	-0,215
7,5000	-0,108
7,5200	-0,002
7,5400	0,105
7,5600	0,214
7,5800	0,319
7,6000	0,424
7,6200	0,528
7,6400	0,628
7,6600	0,727
7,6800	0,822
7,7000	0,911
7,7200	0,997
7,7400	1,078
7,7600	1,151
7,7800	1,221
7,8000	1,282
7,8200	1,337
7,8400	1,384
7,8600	1,423
7,8800	1,455
7,9000	1,477
7,9200	1,491
7,9400	1,495
7,9600	1,494
7,9800	1,483
8,0000	1,464
8,0200	1,439
8,0400	1,404
8,0600	1,362
8,0800	1,313
8,1000	1,257
8,1200	1,194
8,1400	1,126
8,1600	1,051
8,1800	0,971
8,2000	0,886
8,2200	0,796
8,2400	0,702
8,2600	0,603
8,2800	0,503
8,3000	0,399
8,3200	0,294
8,3400	0,188
8,3600	0,080
8,3800	-0,028
8,4000	-0,135
8,4200	-0,242
8,4400	-0,347
8,4600	-0,449
8,4800	-0,550
8,5000	-0,647
8,5200	-0,740
8,5400	-0,828
8,5600	-0,911
8,5800	-0,990
8,6000	-1,062
8,6200	-1,128
8,6400	-1,188
8,6600	-1,239
8,6800	-1,285
8,7000	-1,321
8,7200	-1,351
8,7400	-1,373
8,7600	-1,385
8,7800	-1,390
8,8000	-1,387
8,8200	-1,376
8,8400	-1,357
8,8600	-1,330
8,8800	-1,296
8,9000	-1,255
8,9200	-1,208
8,9400	-1,153
8,9600	-1,092
8,9800	-1,024
9,0000	-0,950
9,0200	-0,872
9,0400	-0,787
9,0600	-0,699
9,0800	-0,605
9,1000	-0,509
9,1200	-0,408
9,1400	-0,305
9,1600	-0,199
9,1800	-0,093
9,2000	0,014
9,2200	0,124
9,2400	0,231
9,2600	0,339
9,2800	0,445
9,3000	0,548
9,3200	0,650
9,3400	0,748
9,3600	0,842
9,3800	0,933
9,4000	1,018
9,4200	1,100
9,4400	1,173
9,4600	1,243
9,4800	1,304
9,5000	1,357
9,5200	1,404
9,5400	1,442
9,5600	1,473
9,5800	1,495
9,6000	1,508
9,6200	1,514
9,6400	1,511
9,6600	1,500
9,6800	1,480
9,7000	1,453
9,7200	1,417
9,7400	1,374
9,7600	1,324
9,7800	1,268
9,8000	1,205
9,8200	1,136
9,8400	1,059
9,8600	0,979
9,8800	0,891
9,9000	0,801
9,9200	0,705
9,9400	0,606
9,9600	0,504
9,9800	0,401
10,0000	0,294
10,0200	0,187
10,0400	0,079
10,0600	-0,030
10,0800	-0,138
10,1000	-0,247
10,1200	-0,352
10,1400	-0,456
10,1600	-0,556
10,1800	-0,653
10,2000	-0,748
10,2200	-0,836
10,2400	-0,919
10,2600	-0,997
10,2800	-1,071
10,3000	-1,137
10,3200	-1,197
10,3400	-1,249
10,3600	-1,294
10,3800	-1,332
10,4000	-1,360
10,4200	-1,382
10,4400	-1,395
10,4600	-1,398
10,4800	-1,396
10,5000	-1,384
10,5200	-1,365
10,5400	-1,338
10,5600	-1,304
10,5800	-1,263
10,6000	-1,214
10,6200	-1,159
10,6400	-1,098
10,6600	-1,030
10,6800	-0,957
10,7000	-0,877
10,7200	-0,793
10,7400	-0,704
10,7600	-0,609
10,7800	-0,514
10,8000	-0,413
10,8200	-0,309
10,8400	-0,204
10,8600	-0,097
10,8800	0,009
10,9000	0,118
10,9200	0,226
10,9400	0,333
10,9600	0,440
10,9800	0,543
11,0000	0,646
11,0200	0,743
11,0400	0,839
11,0600	0,928
11,0800	1,015
11,1000	1,095
11,1200	1,170
11,1400	1,239
11,1600	1,301
11,1800	1,356
11,2000	1,401
11,2200	1,440
11,2400	1,472
11,2600	1,495
11,2800	1,508
11,3000	1,514
11,3200	1,513
11,3400	1,502
11,3600	1,481
11,3800	1,455
11,4000	1,420
11,4200	1,378
11,4400	1,327
11,4600	1,272
11,4800	1,208
11,5000	1,139
11,5200	1,063
11,5400	0,983
11,5600	0,897
11,5800	0,807
11,6000	0,712
11,6200	0,614
11,6400	0,514
11,6600	0,408
11,6800	0,305
11,7000	0,198
11,7200	0,090
11,7400	-0,017
11,7600	-0,126
11,7800	-0,232
11,8000	-0,338
11,8200	-0,440
11,8400	-0,540
11,8600	-0,636
11,8800	-0,730
11,9000	-0,818
11,9200	-0,902
