Winkelposition, Messreihe #4
Zeit ( s )	Winkelposition ( rad )
0,0000	1,352
0,0200	1,363
0,0400	1,367
0,0600	1,362
0,0800	1,348
0,1000	1,327
0,1200	1,299
0,1400	1,263
0,1600	1,219
0,1800	1,169
0,2000	1,112
0,2200	1,049
0,2400	0,980
0,2600	0,906
0,2800	0,826
0,3000	0,741
0,3200	0,653
0,3400	0,561
0,3600	0,465
0,3800	0,366
0,4000	0,265
0,4200	0,162
0,4400	0,058
0,4600	-0,046
0,4800	-0,151
0,5000	-0,254
0,5200	-0,357
0,5400	-0,457
0,5600	-0,556
0,5800	-0,650
0,6000	-0,743
0,6200	-0,829
0,6400	-0,913
0,6600	-0,990
0,6800	-1,062
0,7000	-1,128
0,7200	-1,188
0,7400	-1,239
0,7600	-1,285
0,7800	-1,324
0,8000	-1,354
0,8200	-1,376
0,8400	-1,390
0,8600	-1,396
0,8800	-1,395
0,9000	-1,385
0,9200	-1,368
0,9400	-1,345
0,9600	-1,313
0,9800	-1,274
1,0000	-1,228
1,0200	-1,177
1,0400	-1,118
1,0600	-1,056
1,0800	-0,985
1,1000	-0,909
1,1200	-0,829
1,1400	-0,745
1,1600	-0,657
1,1800	-0,564
1,2000	-0,468
1,2200	-0,371
1,2400	-0,270
1,2600	-0,167
1,2800	-0,064
1,3000	0,039
1,3200	0,143
1,3400	0,245
1,3600	0,346
1,3800	0,446
1,4000	0,542
1,4200	0,636
1,4400	0,726
1,4600	0,812
1,4800	0,894
1,5000	0,969
1,5200	1,040
1,5400	1,104
1,5600	1,162
1,5800	1,213
1,6000	1,257
1,6200	1,293
1,6400	1,319
1,6600	1,340
1,6800	1,351
1,7000	1,354
1,7200	1,349
1,7400	1,337
1,7600	1,315
1,7800	1,286
1,8000	1,250
1,8200	1,208
1,8400	1,159
1,8600	1,103
1,8800	1,040
1,9000	0,972
1,9200	0,898
1,9400	0,820
1,9600	0,735
1,9800	0,647
2,0000	0,556
2,0200	0,462
2,0400	0,364
2,0600	0,264
2,0800	0,163
2,1000	0,060
2,1200	-0,042
2,1400	-0,146
2,1600	-0,248
2,1800	-0,350
2,2000	-0,449
2,2200	-0,547
2,2400	-0,641
2,2600	-0,732
2,2800	-0,818
2,3000	-0,900
2,3200	-0,977
2,3400	-1,048
2,3600	-1,114
2,3800	-1,172
2,4000	-1,224
2,4200	-1,269
2,4400	-1,307
2,4600	-1,337
2,4800	-1,357
2,5000	-1,371
2,5200	-1,378
2,5400	-1,376
2,5600	-1,367
2,5800	-1,349
2,6000	-1,326
2,6200	-1,294
2,6400	-1,257
2,6600	-1,211
2,6800	-1,159
2,7000	-1,101
2,7200	-1,038
2,7400	-0,968
2,7600	-0,894
2,7800	-0,812
2,8000	-0,729
2,8200	-0,639
2,8400	-0,548
2,8600	-0,452
2,8800	-0,353
2,9000	-0,253
2,9200	-0,152
2,9400	-0,050
2,9600	0,053
2,9800	0,157
3,0000	0,258
3,0200	0,358
3,0400	0,457
3,0600	0,553
3,0800	0,646
3,1000	0,735
3,1200	0,820
3,1400	0,900
3,1600	0,975
3,1800	1,045
3,2000	1,107
3,2200	1,164
3,2400	1,213
3,2600	1,255
3,2800	1,290
3,3000	1,316
3,3200	1,334
3,3400	1,345
3,3600	1,346
3,3800	1,340
3,4000	1,326
3,4200	1,304
3,4400	1,274
3,4600	1,238
3,4800	1,194
3,5000	1,144
3,5200	1,087
3,5400	1,023
3,5600	0,953
3,5800	0,880
3,6000	0,800
3,6200	0,716
3,6400	0,628
3,6600	0,536
3,6800	0,441
3,7000	0,344
3,7200	0,243
3,7400	0,143
3,7600	0,039
3,7800	-0,063
3,8000	-0,165
3,8200	-0,267
3,8400	-0,368
3,8600	-0,467
3,8800	-0,564
3,9000	-0,657
3,9200	-0,748
3,9400	-0,833
3,9600	-0,913
3,9800	-0,990
4,0000	-1,059
4,0200	-1,123
4,0400	-1,181
4,0600	-1,232
4,0800	-1,275
4,1000	-1,312
4,1200	-1,340
4,1400	-1,360
4,1600	-1,373
4,1800	-1,378
4,2000	-1,374
4,2200	-1,363
4,2400	-1,345
4,2600	-1,319
4,2800	-1,288
4,3000	-1,247
4,3200	-1,202
4,3400	-1,150
4,3600	-1,090
4,3800	-1,026
4,4000	-0,955
4,4200	-0,880
4,4400	-0,798
4,4600	-0,713
4,4800	-0,624
4,5000	-0,531
4,5200	-0,435
4,5400	-0,336
4,5600	-0,236
4,5800	-0,134
4,6000	-0,031
4,6200	0,072
4,6400	0,176
4,6600	0,276
4,6800	0,377
4,7000	0,476
4,7200	0,570
4,7400	0,663
4,7600	0,751
4,7800	0,836
4,8000	0,916
4,8200	0,990
4,8400	1,057
4,8600	1,120
4,8800	1,175
4,9000	1,224
4,9200	1,264
4,9400	1,297
4,9600	1,323
4,9800	1,340
5,0000	1,348
5,0200	1,349
5,0400	1,343
5,0600	1,327
5,0800	1,304
5,1000	1,274
5,1200	1,236
5,1400	1,191
5,1600	1,139
5,1800	1,081
5,2000	1,016
5,2200	0,947
5,2400	0,872
5,2600	0,790
5,2800	0,705
5,3000	0,616
5,3200	0,525
5,3400	0,427
5,3600	0,330
5,3800	0,229
5,4000	0,127
5,4200	0,025
5,4400	-0,079
5,4600	-0,181
5,4800	-0,284
5,5000	-0,385
5,5200	-0,484
5,5400	-0,580
5,5600	-0,672
5,5800	-0,762
5,6000	-0,847
5,6200	-0,928
5,6400	-1,002
5,6600	-1,071
5,6800	-1,136
5,7000	-1,192
5,7200	-1,243
5,7400	-1,285
5,7600	-1,321
5,7800	-1,348
5,8000	-1,367
5,8200	-1,378
5,8400	-1,382
5,8600	-1,378
5,8800	-1,365
5,9000	-1,346
5,9200	-1,319
5,9400	-1,286
5,9600	-1,246
5,9800	-1,199
6,0000	-1,145
6,0200	-1,085
6,0400	-1,019
6,0600	-0,947
6,0800	-0,870
6,1000	-0,789
6,1200	-0,704
6,1400	-0,613
6,1600	-0,520
6,1800	-0,423
6,2000	-0,324
6,2200	-0,223
6,2400	-0,121
6,2600	-0,019
6,2800	0,085
6,3000	0,188
6,3200	0,289
6,3400	0,390
6,3600	0,487
6,3800	0,583
6,4000	0,674
6,4200	0,762
6,4400	0,845
6,4600	0,924
6,4800	0,997
6,5000	1,065
6,5200	1,126
6,5400	1,180
6,5600	1,228
6,5800	1,268
6,6000	1,299
6,6200	1,323
6,6400	1,338
6,6600	1,346
6,6800	1,346
6,7000	1,338
6,7200	1,321
6,7400	1,297
6,7600	1,266
6,7800	1,227
6,8000	1,181
6,8200	1,129
6,8400	1,071
6,8600	1,007
6,8800	0,936
6,9000	0,861
6,9200	0,781
6,9400	0,696
6,9600	0,606
6,9800	0,514
7,0000	0,419
7,0200	0,320
7,0400	0,221
7,0600	0,121
7,0800	0,017
7,1000	-0,083
7,1200	-0,185
7,1400	-0,287
7,1600	-0,386
7,1800	-0,484
7,2000	-0,580
7,2200	-0,671
7,2400	-0,759
7,2600	-0,842
7,2800	-0,922
7,3000	-0,996
7,3200	-1,063
7,3400	-1,126
7,3600	-1,183
7,3800	-1,232
7,4000	-1,272
7,4200	-1,307
7,4400	-1,334
7,4600	-1,352
7,4800	-1,363
7,5000	-1,367
7,5200	-1,363
7,5400	-1,351
7,5600	-1,332
7,5800	-1,305
7,6000	-1,272
7,6200	-1,233
7,6400	-1,186
7,6600	-1,134
7,6800	-1,074
7,7000	-1,012
7,7200	-0,941
7,7400	-0,867
7,7600	-0,787
7,7800	-0,704
7,8000	-0,616
7,8200	-0,525
7,8400	-0,430
7,8600	-0,333
7,8800	-0,236
7,9000	-0,135
7,9200	-0,035
7,9400	0,066
7,9600	0,167
7,9800	0,265
8,0000	0,363
8,0200	0,459
8,0400	0,553
8,0600	0,642
8,0800	0,729
8,1000	0,811
8,1200	0,889
8,1400	0,961
8,1600	1,029
8,1800	1,089
8,2000	1,142
8,2200	1,189
8,2400	1,230
8,2600	1,261
8,2800	1,286
8,3000	1,302
8,3200	1,310
8,3400	1,312
8,3600	1,304
8,3800	1,288
8,4000	1,266
8,4200	1,236
8,4400	1,199
8,4600	1,155
8,4800	1,104
8,5000	1,046
8,5200	0,983
8,5400	0,916
8,5600	0,842
8,5800	0,762
8,6000	0,679
8,6200	0,592
8,6400	0,501
8,6600	0,407
8,6800	0,313
8,7000	0,214
8,7200	0,115
8,7400	0,014
8,7600	-0,086
8,7800	-0,187
8,8000	-0,286
8,8200	-0,383
8,8400	-0,479
8,8600	-0,573
8,8800	-0,664
8,9000	-0,751
8,9200	-0,833
8,9400	-0,911
8,9600	-0,983
8,9800	-1,051
9,0000	-1,112
9,0200	-1,166
9,0400	-1,214
9,0600	-1,255
9,0800	-1,288
9,1000	-1,313
9,1200	-1,332
9,1400	-1,341
9,1600	-1,345
9,1800	-1,340
9,2000	-1,327
9,2200	-1,307
9,2400	-1,282
9,2600	-1,249
9,2800	-1,208
9,3000	-1,162
9,3200	-1,111
9,3400	-1,052
9,3600	-0,988
9,3800	-0,919
9,4000	-0,844
9,4200	-0,765
9,4400	-0,682
9,4600	-0,595
9,4800	-0,506
9,5000	-0,413
9,5200	-0,317
9,5400	-0,220
9,5600	-0,121
9,5800	-0,024
