Winkelposition, Messreihe #18
Zeit ( s )	Winkelposition ( rad )
0,0000	2,036
0,0200	1,957
0,0400	1,877
0,0600	1,795
0,0800	1,714
0,1000	1,630
0,1200	1,549
0,1400	1,466
0,1600	1,384
0,1800	1,304
0,2000	1,222
0,2200	1,144
0,2400	1,068
0,2600	0,993
0,2800	0,920
0,3000	0,851
0,3200	0,784
0,3400	0,719
0,3600	0,658
0,3800	0,602
0,4000	0,548
0,4200	0,500
0,4400	0,454
0,4600	0,415
0,4800	0,379
0,5000	0,349
0,5200	0,322
0,5400	0,302
0,5600	0,286
0,5800	0,276
0,6000	0,272
0,6200	0,272
0,6400	0,276
0,6600	0,286
0,6800	0,300
0,7000	0,319
0,7200	0,342
0,7400	0,369
0,7600	0,401
0,7800	0,435
0,8000	0,476
0,8200	0,518
0,8400	0,565
0,8600	0,617
0,8800	0,671
0,9000	0,730
0,9200	0,790
0,9400	0,856
0,9600	0,922
0,9800	0,993
1,0000	1,065
1,0200	1,139
1,0400	1,216
1,0600	1,294
1,0800	1,373
1,1000	1,455
1,1200	1,536
1,1400	1,618
1,1600	1,700
1,1800	1,783
1,2000	1,863
1,2200	1,945
1,2400	2,025
1,2600	2,103
1,2800	2,179
1,3000	2,254
1,3200	2,328
1,3400	2,399
1,3600	2,466
1,3800	2,532
1,4000	2,593
1,4200	2,653
1,4400	2,708
1,4600	2,758
1,4800	2,805
1,5000	2,848
1,5200	2,886
1,5400	2,919
1,5600	2,945
1,5800	2,969
1,6000	2,986
1,6200	2,997
1,6400	3,003
1,6600	3,005
1,6800	3,002
1,7000	2,992
1,7200	2,978
1,7400	2,959
1,7600	2,936
1,7800	2,908
1,8000	2,875
1,8200	2,838
1,8400	2,798
1,8600	2,752
1,8800	2,705
1,9000	2,652
1,9200	2,595
1,9400	2,535
1,9600	2,472
1,9800	2,406
2,0000	2,339
2,0200	2,267
2,0400	2,193
2,0600	2,117
2,0800	2,040
2,1000	1,962
2,1200	1,880
2,1400	1,800
2,1600	1,718
2,1800	1,635
2,2000	1,552
2,2200	1,470
2,2400	1,389
2,2600	1,307
2,2800	1,227
2,3000	1,148
2,3200	1,071
2,3400	0,997
2,3600	0,925
2,3800	0,855
2,4000	0,787
2,4200	0,724
2,4400	0,663
2,4600	0,606
2,4800	0,553
2,5000	0,503
2,5200	0,457
2,5400	0,418
2,5600	0,382
2,5800	0,350
2,6000	0,325
2,6200	0,305
2,6400	0,289
2,6600	0,278
2,6800	0,273
2,7000	0,273
2,7200	0,278
2,7400	0,287
2,7600	0,302
2,7800	0,320
2,8000	0,344
2,8200	0,371
2,8400	0,402
2,8600	0,437
2,8800	0,476
2,9000	0,520
2,9200	0,567
2,9400	0,619
2,9600	0,672
2,9800	0,730
3,0000	0,792
3,0200	0,856
3,0400	0,924
3,0600	0,993
3,0800	1,065
3,1000	1,140
3,1200	1,216
3,1400	1,294
3,1600	1,373
3,1800	1,453
3,2000	1,535
3,2200	1,616
3,2400	1,698
3,2600	1,781
3,2800	1,861
3,3000	1,942
3,3200	2,020
3,3400	2,099
3,3600	2,174
3,3800	2,248
3,4000	2,322
3,4200	2,391
3,4400	2,458
3,4600	2,523
3,4800	2,584
3,5000	2,642
3,5200	2,697
3,5400	2,746
3,5600	2,793
3,5800	2,834
3,6000	2,871
3,6200	2,904
3,6400	2,933
3,6600	2,955
3,6800	2,972
3,7000	2,983
3,7200	2,989
3,7400	2,991
3,7600	2,988
3,7800	2,978
3,8000	2,964
3,8200	2,945
3,8400	2,922
3,8600	2,895
3,8800	2,864
3,9000	2,827
3,9200	2,787
3,9400	2,743
3,9600	2,695
3,9800	2,644
4,0000	2,587
4,0200	2,531
4,0400	2,468
4,0600	2,403
4,0800	2,336
4,1000	2,267
4,1200	2,194
4,1400	2,121
4,1600	2,045
4,1800	1,967
4,2000	1,890
4,2200	1,810
4,2400	1,729
4,2600	1,648
4,2800	1,568
4,3000	1,488
4,3200	1,407
4,3400	1,327
4,3600	1,249
4,3800	1,172
4,4000	1,096
4,4200	1,021
4,4400	0,950
4,4600	0,881
4,4800	0,815
4,5000	0,751
4,5200	0,691
4,5400	0,633
4,5600	0,581
4,5800	0,531
4,6000	0,485
4,6200	0,445
4,6400	0,408
4,6600	0,377
4,6800	0,350
4,7000	0,330
4,7200	0,313
4,7400	0,302
4,7600	0,295
4,7800	0,294
4,8000	0,298
4,8200	0,306
4,8400	0,319
4,8600	0,336
4,8800	0,357
4,9000	0,383
4,9200	0,413
4,9400	0,446
4,9600	0,484
4,9800	0,526
5,0000	0,572
5,0200	0,620
5,0400	0,674
5,0600	0,729
5,0800	0,789
5,1000	0,851
5,1200	0,916
5,1400	0,983
5,1600	1,052
5,1800	1,125
5,2000	1,199
5,2200	1,275
5,2400	1,352
5,2600	1,431
5,2800	1,511
5,3000	1,590
5,3200	1,671
5,3400	1,751
5,3600	1,832
5,3800	1,912
5,4000	1,990
5,4200	2,067
5,4400	2,144
5,4600	2,220
5,4800	2,292
5,5000	2,362
5,5200	2,430
5,5400	2,496
5,5600	2,559
5,5800	2,619
5,6000	2,673
5,6200	2,725
5,6400	2,772
5,6600	2,816
5,6800	2,856
5,7000	2,890
5,7200	2,920
5,7400	2,944
5,7600	2,963
5,7800	2,977
5,8000	2,986
5,8200	2,988
5,8400	2,988
5,8600	2,980
5,8800	2,967
5,9000	2,950
5,9200	2,930
5,9400	2,903
5,9600	2,873
5,9800	2,838
6,0000	2,799
6,0200	2,755
6,0400	2,710
6,0600	2,658
6,0800	2,603
6,1000	2,545
6,1200	2,483
6,1400	2,419
6,1600	2,351
6,1800	2,281
6,2000	2,209
6,2200	2,133
6,2400	2,056
6,2600	1,978
6,2800	1,898
6,3000	1,816
6,3200	1,734
6,3400	1,651
6,3600	1,568
6,3800	1,486
6,4000	1,403
6,4200	1,321
6,4400	1,241
6,4600	1,161
6,4800	1,084
6,5000	1,008
6,5200	0,935
6,5400	0,866
6,5600	0,796
6,5800	0,732
6,6000	0,671
6,6200	0,613
6,6400	0,558
6,6600	0,507
6,6800	0,462
6,7000	0,421
6,7200	0,383
6,7400	0,352
6,7600	0,325
6,7800	0,303
6,8000	0,286
6,8200	0,275
6,8400	0,269
6,8600	0,269
6,8800	0,272
6,9000	0,281
6,9200	0,294
6,9400	0,311
6,9600	0,333
6,9800	0,360
7,0000	0,391
7,0200	0,426
7,0400	0,463
7,0600	0,507
7,0800	0,554
7,1000	0,605
7,1200	0,658
7,1400	0,716
7,1600	0,778
7,1800	0,842
7,2000	0,908
7,2200	0,979
7,2400	1,051
7,2600	1,125
7,2800	1,202
7,3000	1,279
7,3200	1,359
7,3400	1,440
7,3600	1,522
7,3800	1,604
7,4000	1,687
7,4200	1,769
7,4400	1,850
7,4600	1,932
7,4800	2,012
7,5000	2,091
7,5200	2,168
7,5400	2,243
7,5600	2,317
7,5800	2,389
7,6000	2,457
7,6200	2,523
7,6400	2,586
7,6600	2,644
7,6800	2,700
7,7000	2,750
7,7200	2,798
7,7400	2,840
7,7600	2,878
7,7800	2,911
7,8000	2,939
7,8200	2,961
7,8400	2,978
7,8600	2,991
7,8800	2,997
7,9000	2,999
7,9200	2,996
7,9400	2,986
7,9600	2,972
7,9800	2,953
8,0000	2,931
8,0200	2,903
8,0400	2,871
8,0600	2,835
8,0800	2,794
8,1000	2,750
8,1200	2,702
8,1400	2,650
8,1600	2,595
8,1800	2,537
8,2000	2,476
8,2200	2,410
8,2400	2,344
8,2600	2,273
8,2800	2,201
8,3000	2,127
8,3200	2,050
8,3400	1,973
8,3600	1,894
8,3800	1,814
8,4000	1,733
8,4200	1,651
8,4400	1,571
8,4600	1,489
8,4800	1,409
8,5000	1,329
8,5200	1,250
8,5400	1,172
8,5600	1,096
8,5800	1,023
8,6000	0,950
8,6200	0,881
8,6400	0,814
8,6600	0,751
8,6800	0,690
8,7000	0,633
8,7200	0,580
8,7400	0,529
8,7600	0,484
8,7800	0,443
8,8000	0,405
8,8200	0,374
8,8400	0,347
8,8600	0,325
8,8800	0,309
8,9000	0,298
8,9200	0,292
8,9400	0,291
8,9600	0,294
8,9800	0,302
9,0000	0,316
9,0200	0,331
9,0400	0,353
9,0600	0,380
9,0800	0,410
9,1000	0,443
9,1200	0,482
9,1400	0,523
9,1600	0,569
9,1800	0,619
9,2000	0,672
9,2200	0,729
9,2400	0,789
9,2600	0,851
9,2800	0,917
9,3000	0,986
9,3200	1,057
9,3400	1,129
9,3600	1,205
9,3800	1,283
9,4000	1,360
9,4200	1,440
9,4400	1,521
9,4600	1,602
9,4800	1,684
9,5000	1,766
9,5200	1,846
9,5400	1,926
9,5600	2,004
9,5800	2,083
9,6000	2,158
9,6200	2,234
9,6400	2,306
9,6600	2,375
9,6800	2,443
9,7000	2,507
9,7200	2,568
9,7400	2,626
9,7600	2,681
9,7800	2,732
9,8000	2,779
9,8200	2,821
9,8400	2,859
9,8600	2,893
9,8800	2,920
9,9000	2,944
9,9200	2,961
9,9400	2,974
9,9600	2,981
9,9800	2,983
10,0000	2,980
10,0200	2,970
10,0400	2,958
10,0600	2,939
10,0800	2,917
10,1000	2,890
10,1200	2,859
10,1400	2,823
10,1600	2,783
10,1800	2,739
10,2000	2,692
10,2200	2,642
10,2400	2,587
10,2600	2,529
10,2800	2,468
10,3000	2,403
10,3200	2,337
10,3400	2,268
10,3600	2,196
10,3800	2,122
10,4000	2,047
10,4200	1,971
10,4400	1,893
10,4600	1,814
10,4800	1,734
10,5000	1,654
10,5200	1,574
10,5400	1,494
10,5600	1,414
10,5800	1,335
10,6000	1,257
10,6200	1,178
10,6400	1,103
10,6600	1,030
10,6800	0,958
10,7000	0,889
10,7200	0,823
10,7400	0,759
10,7600	0,699
10,7800	0,641
10,8000	0,587
10,8200	0,539
10,8400	0,493
10,8600	0,452
10,8800	0,416
10,9000	0,383
10,9200	0,357
10,9400	0,335
10,9600	0,317
10,9800	0,306
11,0000	0,300
11,0200	0,298
11,0400	0,300
11,0600	0,309
11,0800	0,322
11,1000	0,338
11,1200	0,360
11,1400	0,385
11,1600	0,413
11,1800	0,448
11,2000	0,485
11,2200	0,526
11,2400	0,572
11,2600	0,622
11,2800	0,674
11,3000	0,730
11,3200	0,790
11,3400	0,853
11,3600	0,917
11,3800	0,986
11,4000	1,057
11,4200	1,129
11,4400	1,205
11,4600	1,282
11,4800	1,359
11,5000	1,439
11,5200	1,519
11,5400	1,601
11,5600	1,682
11,5800	1,764
11,6000	1,844
11,6200	1,924
11,6400	2,003
11,6600	2,081
11,6800	2,157
11,7000	2,232
11,7200	2,304
11,7400	2,375
11,7600	2,443
