Winkelposition, Messreihe #7
Zeit ( s )	Winkelposition ( rad )
0,0000	1,670
0,0200	1,783
0,0400	1,894
0,0600	2,003
0,0800	2,110
0,1000	2,212
0,1200	2,311
0,1400	2,405
0,1600	2,494
0,1800	2,578
0,2000	2,656
0,2200	2,725
0,2400	2,788
0,2600	2,845
0,2800	2,892
0,3000	2,931
0,3200	2,963
0,3400	2,985
0,3600	2,997
0,3800	3,002
0,4000	2,999
0,4200	2,985
0,4400	2,964
0,4600	2,934
0,4800	2,897
0,5000	2,853
0,5200	2,799
0,5400	2,739
0,5600	2,672
0,5800	2,598
0,6000	2,518
0,6200	2,432
0,6400	2,340
0,6600	2,243
0,6800	2,143
0,7000	2,039
0,7200	1,932
0,7400	1,821
0,7600	1,709
0,7800	1,594
0,8000	1,480
0,8200	1,365
0,8400	1,249
0,8600	1,136
0,8800	1,023
0,9000	0,913
0,9200	0,804
0,9400	0,701
0,9600	0,600
0,9800	0,504
1,0000	0,413
1,0200	0,327
1,0400	0,248
1,0600	0,174
1,0800	0,108
1,1000	0,050
1,1200	-0,002
1,1400	-0,044
1,1600	-0,079
1,1800	-0,105
1,2000	-0,123
1,2200	-0,130
1,2400	-0,132
1,2600	-0,123
1,2800	-0,105
1,3000	-0,082
1,3200	-0,049
1,3400	-0,008
1,3600	0,039
1,3800	0,094
1,4000	0,156
1,4200	0,225
1,4400	0,300
1,4600	0,382
1,4800	0,468
1,5000	0,559
1,5200	0,657
1,5400	0,757
1,5600	0,862
1,5800	0,971
1,6000	1,081
1,6200	1,194
1,6400	1,308
1,6600	1,423
1,6800	1,538
1,7000	1,652
1,7200	1,767
1,7400	1,879
1,7600	1,989
1,7800	2,095
1,8000	2,199
1,8200	2,300
1,8400	2,395
1,8600	2,485
1,8800	2,570
1,9000	2,648
1,9200	2,719
1,9400	2,783
1,9600	2,842
1,9800	2,890
2,0000	2,931
2,0200	2,963
2,0400	2,986
2,0600	3,000
2,0800	3,007
2,1000	3,003
2,1200	2,992
2,1400	2,972
2,1600	2,944
2,1800	2,908
2,2000	2,864
2,2200	2,812
2,2400	2,752
2,2600	2,686
2,2800	2,612
2,3000	2,534
2,3200	2,447
2,3400	2,356
2,3600	2,260
2,3800	2,160
2,4000	2,056
2,4200	1,948
2,4400	1,838
2,4600	1,725
2,4800	1,612
2,5000	1,495
2,5200	1,381
2,5400	1,264
2,5600	1,150
2,5800	1,037
2,6000	0,925
2,6200	0,817
2,6400	0,712
2,6600	0,611
2,6800	0,514
2,7000	0,423
2,7200	0,336
2,7400	0,254
2,7600	0,181
2,7800	0,113
2,8000	0,053
2,8200	0,002
2,8400	-0,044
2,8600	-0,080
2,8800	-0,107
2,9000	-0,126
2,9200	-0,135
2,9400	-0,137
2,9600	-0,129
2,9800	-0,113
3,0000	-0,090
3,0200	-0,058
3,0400	-0,019
3,0600	0,028
3,0800	0,082
3,1000	0,143
3,1200	0,210
3,1400	0,286
3,1600	0,366
3,1800	0,452
3,2000	0,545
3,2200	0,641
3,2400	0,741
3,2600	0,847
3,2800	0,955
3,3000	1,065
3,3200	1,178
3,3400	1,293
3,3600	1,407
3,3800	1,524
3,4000	1,638
3,4200	1,753
3,4400	1,866
3,4600	1,976
3,4800	2,084
3,5000	2,190
3,5200	2,290
3,5400	2,386
3,5600	2,477
3,5800	2,562
3,6000	2,642
3,6200	2,714
3,6400	2,780
3,6600	2,838
3,6800	2,889
3,7000	2,931
3,7200	2,964
3,7400	2,989
3,7600	3,003
3,7800	3,011
3,8000	3,010
3,8200	2,999
3,8400	2,980
3,8600	2,953
3,8800	2,917
3,9000	2,875
3,9200	2,823
3,9400	2,765
3,9600	2,700
3,9800	2,628
4,0000	2,549
4,0200	2,465
4,0400	2,373
4,0600	2,279
4,0800	2,179
4,1000	2,075
4,1200	1,968
4,1400	1,858
4,1600	1,745
4,1800	1,632
4,2000	1,516
4,2200	1,401
4,2400	1,285
4,2600	1,169
4,2800	1,056
4,3000	0,944
4,3200	0,834
4,3400	0,729
4,3600	0,627
4,3800	0,528
4,4000	0,435
4,4200	0,347
4,4400	0,265
4,4600	0,190
4,4800	0,123
4,5000	0,061
4,5200	0,006
4,5400	-0,039
4,5600	-0,075
4,5800	-0,105
4,6000	-0,126
4,6200	-0,137
4,6400	-0,138
4,6600	-0,134
4,6800	-0,119
4,7000	-0,096
4,7200	-0,066
4,7400	-0,028
4,7600	0,019
4,7800	0,071
4,8000	0,132
4,8200	0,198
4,8400	0,272
4,8600	0,352
4,8800	0,437
4,9000	0,528
4,9200	0,624
4,9400	0,724
4,9600	0,828
4,9800	0,936
5,0000	1,046
5,0200	1,158
5,0400	1,272
5,0600	1,387
5,0800	1,503
5,1000	1,619
5,1200	1,733
5,1400	1,846
5,1600	1,957
5,1800	2,066
5,2000	2,171
5,2200	2,271
5,2400	2,369
5,2600	2,461
5,2800	2,548
5,3000	2,628
5,3200	2,702
5,3400	2,769
5,3600	2,827
5,3800	2,879
5,4000	2,922
5,4200	2,958
5,4400	2,983
5,4600	3,000
5,4800	3,008
5,5000	3,010
5,5200	3,000
5,5400	2,983
5,5600	2,956
5,5800	2,923
5,6000	2,881
5,6200	2,832
5,6400	2,774
5,6600	2,710
5,6800	2,639
5,7000	2,562
5,7200	2,479
5,7400	2,389
5,7600	2,295
5,7800	2,196
5,8000	2,092
5,8200	1,985
5,8400	1,876
5,8600	1,764
5,8800	1,651
5,9000	1,536
5,9200	1,418
5,9400	1,304
5,9600	1,188
5,9800	1,074
6,0000	0,963
6,0200	0,853
6,0400	0,746
6,0600	0,644
6,0800	0,545
6,1000	0,451
6,1200	0,363
6,1400	0,281
6,1600	0,204
6,1800	0,135
6,2000	0,072
6,2200	0,017
6,2400	-0,030
