Winkelposition, Messreihe #8
Zeit ( s )	Winkelposition ( rad )
0,0000	0,960
0,0200	1,078
0,0400	1,195
0,0600	1,315
0,0800	1,434
0,1000	1,552
0,1200	1,670
0,1400	1,784
0,1600	1,896
0,1800	2,006
0,2000	2,111
0,2200	2,213
0,2400	2,311
0,2600	2,400
0,2800	2,487
0,3000	2,565
0,3200	2,637
0,3400	2,702
0,3600	2,758
0,3800	2,807
0,4000	2,846
0,4200	2,878
0,4400	2,900
0,4600	2,912
0,4800	2,917
0,5000	2,914
0,5200	2,900
0,5400	2,876
0,5600	2,846
0,5800	2,807
0,6000	2,761
0,6200	2,706
0,6400	2,645
0,6600	2,576
0,6800	2,501
0,7000	2,419
0,7200	2,331
0,7400	2,237
0,7600	2,138
0,7800	2,036
0,8000	1,929
0,8200	1,817
0,8400	1,704
0,8600	1,588
0,8800	1,470
0,9000	1,352
0,9200	1,233
0,9400	1,115
0,9600	0,996
0,9800	0,880
1,0000	0,763
1,0200	0,652
1,0400	0,542
1,0600	0,437
1,0800	0,335
1,1000	0,239
1,1200	0,148
1,1400	0,061
1,1600	-0,017
1,1800	-0,088
1,2000	-0,154
1,2200	-0,210
1,2400	-0,259
1,2600	-0,298
1,2800	-0,331
1,3000	-0,353
1,3200	-0,368
1,3400	-0,372
1,3600	-0,369
1,3800	-0,357
1,4000	-0,336
1,4200	-0,308
1,4400	-0,272
1,4600	-0,228
1,4800	-0,176
1,5000	-0,116
1,5200	-0,050
1,5400	0,024
1,5600	0,104
1,5800	0,188
1,6000	0,280
1,6200	0,375
1,6400	0,478
1,6600	0,583
1,6800	0,691
1,7000	0,804
1,7200	0,919
1,7400	1,035
1,7600	1,153
1,7800	1,272
1,8000	1,392
1,8200	1,510
1,8400	1,627
1,8600	1,742
1,8800	1,857
1,9000	1,967
1,9200	2,073
1,9400	2,177
1,9600	2,275
1,9800	2,369
2,0000	2,455
2,0200	2,537
2,0400	2,611
2,0600	2,678
2,0800	2,738
2,1000	2,788
2,1200	2,832
2,1400	2,865
