Winkelposition, Messreihe #10
Zeit ( s )	Winkelposition ( rad )
0,0000	2,312
0,0200	2,196
0,0400	2,077
0,0600	1,956
0,0800	1,833
0,1000	1,709
0,1200	1,583
0,1400	1,458
0,1600	1,334
0,1800	1,211
0,2000	1,090
0,2200	0,971
0,2400	0,856
0,2600	0,743
0,2800	0,636
0,3000	0,534
0,3200	0,437
0,3400	0,346
0,3600	0,259
0,3800	0,181
0,4000	0,110
0,4200	0,047
0,4400	-0,009
0,4600	-0,055
0,4800	-0,094
0,5000	-0,123
0,5200	-0,143
0,5400	-0,154
0,5600	-0,156
0,5800	-0,149
0,6000	-0,135
0,6200	-0,112
0,6400	-0,080
0,6600	-0,041
0,6800	0,006
0,7000	0,061
0,7200	0,124
0,7400	0,193
0,7600	0,270
0,7800	0,353
0,8000	0,443
0,8200	0,537
0,8400	0,638
0,8600	0,743
0,8800	0,853
0,9000	0,968
0,9200	1,084
0,9400	1,203
0,9600	1,326
0,9800	1,450
1,0000	1,574
1,0200	1,698
1,0400	1,824
1,0600	1,948
1,0800	2,069
1,1000	2,190
1,1200	2,308
1,1400	2,421
1,1600	2,532
1,1800	2,637
1,2000	2,738
1,2200	2,834
1,2400	2,923
1,2600	3,005
1,2800	3,080
1,3000	3,149
1,3200	3,209
1,3400	3,261
1,3600	3,305
1,3800	3,338
1,4000	3,363
1,4200	3,380
1,4400	3,387
1,4600	3,385
1,4800	3,374
1,5000	3,352
1,5200	3,324
1,5400	3,286
1,5600	3,241
1,5800	3,187
1,6000	3,126
1,6200	3,057
1,6400	2,980
1,6600	2,897
1,6800	2,807
1,7000	2,711
1,7200	2,609
1,7400	2,502
1,7600	2,392
1,7800	2,278
1,8000	2,158
1,8200	2,037
1,8400	1,915
1,8600	1,789
1,8800	1,663
1,9000	1,538
1,9200	1,411
1,9400	1,286
1,9600	1,162
1,9800	1,041
2,0000	0,922
2,0200	0,807
2,0400	0,696
2,0600	0,589
2,0800	0,487
2,1000	0,390
2,1200	0,300
2,1400	0,217
2,1600	0,140
2,1800	0,071
2,2000	0,009
2,2200	-0,042
2,2400	-0,086
2,2600	-0,123
2,2800	-0,148
2,3000	-0,165
2,3200	-0,171
2,3400	-0,171
2,3600	-0,160
2,3800	-0,141
2,4000	-0,113
2,4200	-0,079
2,4400	-0,036
2,4600	0,016
2,4800	0,074
2,5000	0,140
2,5200	0,214
2,5400	0,294
2,5600	0,380
2,5800	0,473
2,6000	0,572
2,6200	0,674
2,6400	0,782
2,6600	0,895
2,6800	1,012
2,7000	1,129
2,7200	1,252
2,7400	1,374
2,7600	1,500
2,7800	1,626
2,8000	1,751
2,8200	1,876
2,8400	2,000
2,8600	2,122
2,8800	2,242
2,9000	2,358
2,9200	2,471
2,9400	2,581
2,9600	2,684
2,9800	2,783
3,0000	2,878
3,0200	2,964
3,0400	3,044
3,0600	3,116
3,0800	3,181
3,1000	3,239
3,1200	3,288
3,1400	3,327
3,1600	3,357
3,1800	3,379
3,2000	3,391
3,2200	3,393
3,2400	3,387
3,2600	3,373
3,2800	3,347
3,3000	3,314
3,3200	3,274
3,3400	3,223
3,3600	3,167
3,3800	3,101
3,4000	3,028
3,4200	2,948
3,4400	2,862
3,4600	2,769
3,4800	2,670
3,5000	2,565
3,5200	2,457
3,5400	2,344
3,5600	2,226
3,5800	2,106
3,6000	1,984
3,6200	1,860
3,6400	1,734
3,6600	1,608
3,6800	1,481
3,7000	1,356
3,7200	1,232
3,7400	1,109
3,7600	0,988
3,7800	0,870
3,8000	0,757
3,8200	0,647
3,8400	0,542
3,8600	0,443
3,8800	0,349
3,9000	0,262
3,9200	0,181
3,9400	0,107
3,9600	0,042
3,9800	-0,016
4,0000	-0,064
4,0200	-0,105
4,0400	-0,135
4,0600	-0,159
4,0800	-0,171
4,1000	-0,174
4,1200	-0,170
4,1400	-0,156
4,1600	-0,134
4,1800	-0,104
4,2000	-0,064
4,2200	-0,019
4,2400	0,036
4,2600	0,097
4,2800	0,165
4,3000	0,242
4,3200	0,325
4,3400	0,413
