Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
0,0000	-0,815
0,0200	-0,771
0,0400	-0,724
0,0600	-0,672
0,0800	-0,617
0,1000	-0,561
0,1200	-0,501
0,1400	-0,440
0,1600	-0,377
0,1800	-0,313
0,2000	-0,248
0,2200	-0,184
0,2400	-0,118
0,2600	-0,055
0,2800	0,006
0,3000	0,066
0,3200	0,126
0,3400	0,181
0,3600	0,232
0,3800	0,281
0,4000	0,327
0,4200	0,368
0,4400	0,404
0,4600	0,435
0,4800	0,462
0,5000	0,482
0,5200	0,498
0,5400	0,509
0,5600	0,512
0,5800	0,512
0,6000	0,506
0,6200	0,493
0,6400	0,476
0,6600	0,456
0,6800	0,429
0,7000	0,397
0,7200	0,361
0,7400	0,322
0,7600	0,278
0,7800	0,231
0,8000	0,179
0,8200	0,126
0,8400	0,069
0,8600	0,011
0,8800	-0,050
0,9000	-0,113
0,9200	-0,176
0,9400	-0,240
0,9600	-0,305
0,9800	-0,369
1,0000	-0,434
1,0200	-0,496
1,0400	-0,558
1,0600	-0,616
1,0800	-0,674
1,1000	-0,727
1,1200	-0,778
1,1400	-0,823
1,1600	-0,866
1,1800	-0,903
1,2000	-0,936
1,2200	-0,964
1,2400	-0,986
1,2600	-1,004
1,2800	-1,015
1,3000	-1,019
1,3200	-1,019
1,3400	-1,013
1,3600	-1,002
1,3800	-0,985
1,4000	-0,964
1,4200	-0,939
1,4400	-0,908
1,4600	-0,873
1,4800	-0,836
1,5000	-0,793
1,5200	-0,746
1,5400	-0,696
1,5600	-0,642
1,5800	-0,586
1,6000	-0,528
1,6200	-0,467
1,6400	-0,404
1,6600	-0,339
1,6800	-0,275
1,7000	-0,209
1,7200	-0,143
1,7400	-0,079
1,7600	-0,016
1,7800	0,046
1,8000	0,105
1,8200	0,163
1,8400	0,217
1,8600	0,269
1,8800	0,316
1,9000	0,360
1,9200	0,399
1,9400	0,434
1,9600	0,463
1,9800	0,487
2,0000	0,506
2,0200	0,520
2,0400	0,526
2,0600	0,529
2,0800	0,525
2,1000	0,515
2,1200	0,501
2,1400	0,481
2,1600	0,457
2,1800	0,427
2,2000	0,393
2,2200	0,355
2,2400	0,313
2,2600	0,267
2,2800	0,217
2,3000	0,165
2,3200	0,110
2,3400	0,052
2,3600	-0,009
2,3800	-0,071
2,4000	-0,134
2,4200	-0,198
2,4400	-0,262
2,4600	-0,327
2,4800	-0,391
2,5000	-0,456
2,5200	-0,517
