Winkelposition, Messreihe #9
Zeit ( s )	Winkelposition ( rad )
0,0000	1,172
0,0200	1,293
0,0400	1,415
0,0600	1,538
0,0800	1,662
0,1000	1,786
0,1200	1,909
0,1400	2,028
0,1600	2,147
0,1800	2,264
0,2000	2,375
0,2200	2,485
0,2400	2,587
0,2600	2,686
0,2800	2,779
0,3000	2,865
0,3200	2,945
0,3400	3,018
0,3600	3,080
0,3800	3,137
0,4000	3,184
0,4200	3,223
0,4400	3,253
0,4600	3,274
0,4800	3,285
0,5000	3,288
0,5200	3,280
0,5400	3,264
0,5600	3,239
0,5800	3,206
0,6000	3,165
0,6200	3,115
0,6400	3,057
0,6600	2,992
0,6800	2,920
0,7000	2,840
0,7200	2,754
0,7400	2,661
0,7600	2,564
0,7800	2,460
0,8000	2,351
0,8200	2,240
0,8400	2,125
0,8600	2,006
0,8800	1,885
0,9000	1,762
0,9200	1,640
0,9400	1,516
0,9600	1,392
0,9800	1,268
1,0000	1,145
1,0200	1,026
1,0400	0,908
1,0600	0,793
1,0800	0,683
1,1000	0,576
1,1200	0,476
1,1400	0,380
1,1600	0,291
1,1800	0,207
1,2000	0,132
1,2200	0,063
1,2400	0,002
1,2600	-0,050
1,2800	-0,094
1,3000	-0,129
1,3200	-0,156
1,3400	-0,173
1,3600	-0,179
1,3800	-0,179
1,4000	-0,168
1,4200	-0,149
1,4400	-0,123
1,4600	-0,088
1,4800	-0,046
1,5000	0,006
1,5200	0,064
1,5400	0,130
1,5600	0,204
1,5800	0,284
1,6000	0,369
1,6200	0,462
1,6400	0,561
1,6600	0,663
1,6800	0,771
1,7000	0,883
1,7200	0,997
1,7400	1,115
1,7600	1,236
1,7800	1,359
1,8000	1,481
1,8200	1,605
1,8400	1,731
1,8600	1,854
1,8800	1,976
1,9000	2,095
1,9200	2,213
1,9400	2,326
1,9600	2,436
1,9800	2,543
2,0000	2,644
2,0200	2,739
2,0400	2,829
2,0600	2,912
2,0800	2,988
2,1000	3,057
2,1200	3,116
2,1400	3,168
2,1600	3,211
2,1800	3,245
2,2000	3,270
2,2200	3,285
2,2400	3,291
2,2600	3,289
2,2800	3,278
2,3000	3,258
2,3200	3,228
2,3400	3,190
2,3600	3,145
2,3800	3,090
2,4000	3,028
2,4200	2,959
2,4400	2,882
2,4600	2,799
2,4800	2,710
2,5000	2,614
2,5200	2,512
2,5400	2,406
2,5600	2,297
2,5800	2,182
2,6000	2,066
2,6200	1,946
2,6400	1,824
2,6600	1,701
2,6800	1,577
2,7000	1,453
2,7200	1,329
2,7400	1,206
2,7600	1,085
2,7800	0,966
2,8000	0,851
2,8200	0,738
2,8400	0,630
2,8600	0,526
2,8800	0,427
2,9000	0,336
2,9200	0,250
2,9400	0,170
2,9600	0,097
2,9800	0,033
3,0000	-0,024
3,0200	-0,072
3,0400	-0,112
3,0600	-0,141
3,0800	-0,163
3,1000	-0,176
3,1200	-0,178
3,1400	-0,173
3,1600	-0,159
3,1800	-0,135
3,2000	-0,105
3,2200	-0,066
3,2400	-0,019
3,2600	0,036
3,2800	0,097
3,3000	0,168
3,3200	0,243
3,3400	0,327
3,3600	0,416
3,3800	0,512
3,4000	0,611
3,4200	0,716
3,4400	0,826
3,4600	0,939
3,4800	1,057
3,5000	1,175
3,5200	1,297
3,5400	1,420
3,5600	1,544
3,5800	1,668
3,6000	1,791
3,6200	1,913
3,6400	2,034
3,6600	2,152
3,6800	2,267
3,7000	2,380
3,7200	2,488
3,7400	2,590
3,7600	2,689
3,7800	2,780
3,8000	2,867
3,8200	2,945
3,8400	3,018
3,8600	3,080
3,8800	3,137
3,9000	3,184
3,9200	3,222
3,9400	3,252
3,9600	3,272
3,9800	3,283
4,0000	3,285
4,0200	3,277
4,0400	3,261
4,0600	3,236
4,0800	3,203
4,1000	3,162
4,1200	3,112
4,1400	3,054
4,1600	2,989
4,1800	2,917
4,2000	2,838
4,2200	2,752
4,2400	2,659
4,2600	2,562
4,2800	2,460
4,3000	2,353
4,3200	2,240
4,3400	2,127
4,3600	2,007
4,3800	1,888
4,4000	1,766
4,4200	1,643
4,4400	1,519
4,4600	1,395
4,4800	1,272
4,5000	1,150
4,5200	1,030
4,5400	0,914
4,5600	0,800
4,5800	0,690
4,6000	0,583
4,6200	0,482
4,6400	0,388
4,6600	0,298
4,6800	0,215
4,7000	0,140
4,7200	0,071
4,7400	0,011
4,7600	-0,042
4,7800	-0,085
4,8000	-0,121
4,8200	-0,148
4,8400	-0,163
4,8600	-0,171
4,8800	-0,171
4,9000	-0,160
4,9200	-0,143
4,9400	-0,116
4,9600	-0,080
4,9800	-0,038
5,0000	0,013
5,0200	0,071
5,0400	0,137
5,0600	0,209
5,0800	0,287
5,1000	0,374
5,1200	0,465
5,1400	0,562
5,1600	0,666
5,1800	0,773
5,2000	0,884
5,2200	0,999
5,2400	1,117
5,2600	1,236
5,2800	1,359
5,3000	1,481
5,3200	1,605
5,3400	1,729
5,3600	1,852
5,3800	1,973
5,4000	2,092
5,4200	2,210
5,4400	2,323
5,4600	2,433
5,4800	2,538
5,5000	2,639
5,5200	2,735
5,5400	2,823
5,5600	2,906
5,5800	2,981
5,6000	3,049
5,6200	3,109
5,6400	3,159
5,6600	3,203
5,6800	3,236
5,7000	3,261
5,7200	3,275
5,7400	3,281
5,7600	3,278
5,7800	3,267
5,8000	3,245
5,8200	3,215
5,8400	3,178
5,8600	3,132
5,8800	3,077
5,9000	3,016
5,9200	2,947
5,9400	2,870
5,9600	2,787
5,9800	2,697
6,0000	2,601
6,0200	2,501
6,0400	2,395
6,0600	2,286
6,0800	2,172
6,1000	2,056
6,1200	1,937
6,1400	1,816
6,1600	1,693
6,1800	1,569
6,2000	1,447
6,2200	1,323
6,2400	1,200
6,2600	1,081
6,2800	0,963
6,3000	0,847
6,3200	0,735
6,3400	0,628
6,3600	0,526
6,3800	0,429
6,4000	0,336
6,4200	0,251
6,4400	0,173
6,4600	0,101
6,4800	0,038
6,5000	-0,019
6,5200	-0,066
6,5400	-0,104
6,5600	-0,134
6,5800	-0,154
6,6000	-0,165
6,6200	-0,168
6,6400	-0,162
6,6600	-0,146
6,6800	-0,124
6,7000	-0,091
6,7200	-0,053
6,7400	-0,005
6,7600	0,049
6,7800	0,112
6,8000	0,181
6,8200	0,258
6,8400	0,341
6,8600	0,430
6,8800	0,525
6,9000	0,625
6,9200	0,730
6,9400	0,839
6,9600	0,953
6,9800	1,068
7,0000	1,188
7,0200	1,308
7,0400	1,431
7,0600	1,555
7,0800	1,679
7,1000	1,802
7,1200	1,923
7,1400	2,042
7,1600	2,160
7,1800	2,275
7,2000	2,386
7,2200	2,493
7,2400	2,595
7,2600	2,692
7,2800	2,783
7,3000	2,868
7,3200	2,947
7,3400	3,018
7,3600	3,080
7,3800	3,135
7,4000	3,182
7,4200	3,220
7,4400	3,248
7,4600	3,267
7,4800	3,277
7,5000	3,278
7,5200	3,270
7,5400	3,253
7,5600	3,228
7,5800	3,193
7,6000	3,151
7,6200	3,099
7,6400	3,041
7,6600	2,975
7,6800	2,903
7,7000	2,823
7,7200	2,736
7,7400	2,644
7,7600	2,546
7,7800	2,444
7,8000	2,336
7,8200	2,226
7,8400	2,111
7,8600	1,993
7,8800	1,874
7,9000	1,753
7,9200	1,630
7,9400	1,508
7,9600	1,385
7,9800	1,264
8,0000	1,144
8,0200	1,026
8,0400	0,909
8,0600	0,796
8,0800	0,688
8,1000	0,584
8,1200	0,485
8,1400	0,391
8,1600	0,303
8,1800	0,221
8,2000	0,146
8,2200	0,080
8,2400	0,020
8,2600	-0,031
8,2800	-0,074
8,3000	-0,108
8,3200	-0,134
8,3400	-0,149
8,3600	-0,156
8,3800	-0,154
8,4000	-0,143
8,4200	-0,124
8,4400	-0,097
8,4600	-0,061
8,4800	-0,019
8,5000	0,031
8,5200	0,090
8,5400	0,154
8,5600	0,226
8,5800	0,305
8,6000	0,390
8,6200	0,481
8,6400	0,576
8,6600	0,677
8,6800	0,782
8,7000	0,891
8,7200	1,004
8,7400	1,120
8,7600	1,238
8,7800	1,357
8,8000	1,478
8,8200	1,599
8,8400	1,720
8,8600	1,841
8,8800	1,959
8,9000	2,077
8,9200	2,190
