Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
0,0000	-0,589
0,0200	-0,553
0,0400	-0,514
0,0600	-0,471
0,0800	-0,427
0,1000	-0,379
0,1200	-0,330
0,1400	-0,278
0,1600	-0,226
0,1800	-0,173
0,2000	-0,119
0,2200	-0,064
0,2400	-0,011
0,2600	0,041
0,2800	0,093
0,3000	0,141
0,3200	0,188
0,3400	0,234
0,3600	0,275
0,3800	0,314
0,4000	0,347
0,4200	0,379
0,4400	0,405
0,4600	0,429
0,4800	0,446
0,5000	0,459
0,5200	0,467
0,5400	0,468
0,5600	0,467
0,5800	0,460
0,6000	0,449
0,6200	0,434
0,6400	0,413
0,6600	0,390
0,6800	0,361
0,7000	0,328
0,7200	0,294
0,7400	0,254
0,7600	0,214
0,7800	0,170
0,8000	0,121
0,8200	0,072
0,8400	0,022
0,8600	-0,030
0,8800	-0,083
0,9000	-0,137
0,9200	-0,190
0,9400	-0,243
0,9600	-0,297
0,9800	-0,349
1,0000	-0,401
1,0200	-0,448
1,0400	-0,495
1,0600	-0,537
1,0800	-0,578
1,1000	-0,614
1,1200	-0,647
1,1400	-0,675
1,1600	-0,699
1,1800	-0,718
1,2000	-0,732
1,2200	-0,740
1,2400	-0,743
1,2600	-0,743
1,2800	-0,737
1,3000	-0,727
1,3200	-0,712
1,3400	-0,693
1,3600	-0,671
1,3800	-0,644
1,4000	-0,614
1,4200	-0,580
1,4400	-0,542
1,4600	-0,501
1,4800	-0,457
1,5000	-0,412
1,5200	-0,363
1,5400	-0,313
1,5600	-0,259
1,5800	-0,207
1,6000	-0,152
1,6200	-0,099
1,6400	-0,044
1,6600	0,009
1,6800	0,061
1,7000	0,113
1,7200	0,162
1,7400	0,207
1,7600	0,251
1,7800	0,292
1,8000	0,330
1,8200	0,363
1,8400	0,393
1,8600	0,419
1,8800	0,440
1,9000	0,456
1,9200	0,467
1,9400	0,473
1,9600	0,473
1,9800	0,470
2,0000	0,462
2,0200	0,448
2,0400	0,430
2,0600	0,408
2,0800	0,383
2,1000	0,353
