Winkelposition, Messreihe #11
Zeit ( s )	Winkelposition ( rad )
0,0000	-0,350
0,0200	-0,386
0,0400	-0,413
0,0600	-0,430
0,0800	-0,438
0,1000	-0,438
0,1200	-0,429
0,1400	-0,412
0,1600	-0,385
0,1800	-0,350
0,2000	-0,308
0,2200	-0,258
0,2400	-0,199
0,2600	-0,134
0,2800	-0,061
0,3000	0,019
0,3200	0,105
0,3400	0,198
0,3600	0,297
0,3800	0,401
0,4000	0,509
0,4200	0,622
0,4400	0,740
0,4600	0,859
0,4800	0,982
0,5000	1,107
0,5200	1,235
0,5400	1,362
0,5600	1,489
0,5800	1,616
0,6000	1,744
0,6200	1,869
0,6400	1,992
0,6600	2,113
0,6800	2,229
0,7000	2,342
0,7200	2,452
0,7400	2,556
0,7600	2,653
0,7800	2,746
0,8000	2,831
0,8200	2,909
0,8400	2,980
0,8600	3,043
0,8800	3,098
0,9000	3,143
0,9200	3,181
0,9400	3,208
0,9600	3,226
0,9800	3,236
1,0000	3,236
1,0200	3,226
1,0400	3,209
1,0600	3,182
1,0800	3,146
1,1000	3,102
1,1200	3,050
1,1400	2,991
1,1600	2,923
1,1800	2,848
1,2000	2,766
1,2200	2,678
1,2400	2,582
1,2600	2,482
1,2800	2,375
1,3000	2,264
1,3200	2,149
1,3400	2,029
1,3600	1,907
1,3800	1,783
1,4000	1,657
1,4200	1,530
1,4400	1,401
1,4600	1,274
1,4800	1,145
1,5000	1,019
1,5200	0,894
1,5400	0,771
1,5600	0,652
1,5800	0,536
1,6000	0,424
1,6200	0,317
1,6400	0,215
1,6600	0,119
1,6800	0,030
1,7000	-0,053
1,7200	-0,130
1,7400	-0,198
1,7600	-0,258
1,7800	-0,311
1,8000	-0,353
1,8200	-0,388
1,8400	-0,413
1,8600	-0,430
1,8800	-0,437
1,9000	-0,435
1,9200	-0,424
1,9400	-0,405
1,9600	-0,377
1,9800	-0,342
2,0000	-0,298
2,0200	-0,247
2,0400	-0,187
2,0600	-0,121
2,0800	-0,047
2,1000	0,033
2,1200	0,121
2,1400	0,214
2,1600	0,313
2,1800	0,416
2,2000	0,526
2,2200	0,639
2,2400	0,757
2,2600	0,877
2,2800	0,999
2,3000	1,125
2,3200	1,252
2,3400	1,378
2,3600	1,506
2,3800	1,634
2,4000	1,759
2,4200	1,883
2,4400	2,006
2,4600	2,127
2,4800	2,243
2,5000	2,356
2,5200	2,465
2,5400	2,567
2,5600	2,664
2,5800	2,755
2,6000	2,840
2,6200	2,917
2,6400	2,986
2,6600	3,049
2,6800	3,102
2,7000	3,146
2,7200	3,182
2,7400	3,209
2,7600	3,226
2,7800	3,236
2,8000	3,236
2,8200	3,225
2,8400	3,206
2,8600	3,178
2,8800	3,143
2,9000	3,098
2,9200	3,046
2,9400	2,986
2,9600	2,919
2,9800	2,843
3,0000	2,761
3,0200	2,672
3,0400	2,578
3,0600	2,476
3,0800	2,370
3,1000	2,259
3,1200	2,144
3,1400	2,025
3,1600	1,902
3,1800	1,778
3,2000	1,652
3,2200	1,524
3,2400	1,396
3,2600	1,266
3,2800	1,139
3,3000	1,012
3,3200	0,886
3,3400	0,763
3,3600	0,644
3,3800	0,528
3,4000	0,416
3,4200	0,309
3,4400	0,207
3,4600	0,112
3,4800	0,022
3,5000	-0,061
3,5200	-0,137
3,5400	-0,204
3,5600	-0,265
3,5800	-0,316
3,6000	-0,360
3,6200	-0,393
3,6400	-0,418
3,6600	-0,434
3,6800	-0,440
3,7000	-0,438
3,7200	-0,427
3,7400	-0,407
3,7600	-0,380
3,7800	-0,342
3,8000	-0,298
3,8200	-0,247
3,8400	-0,187
3,8600	-0,121
3,8800	-0,047
3,9000	0,035
3,9200	0,123
3,9400	0,215
3,9600	0,316
3,9800	0,419
4,0000	0,529
4,0200	0,642
4,0400	0,760
4,0600	0,881
4,0800	1,004
4,1000	1,129
4,1200	1,257
4,1400	1,384
4,1600	1,511
4,1800	1,638
4,2000	1,766
4,2200	1,890
4,2400	2,012
4,2600	2,133
4,2800	2,249
4,3000	2,362
4,3200	2,471
4,3400	2,573
4,3600	2,670
4,3800	2,761
4,4000	2,846
4,4200	2,923
4,4400	2,992
4,4600	3,054
4,4800	3,107
4,5000	3,151
4,5200	3,187
4,5400	3,212
4,5600	3,230
4,5800	3,237
4,6000	3,236
4,6200	3,225
4,6400	3,206
4,6600	3,178
