Winkelposition, Messreihe #3
Zeit ( s )	Winkelposition ( rad )
0,0000	-0,922
0,0200	-0,873
0,0400	-0,820
0,0600	-0,762
0,0800	-0,701
0,1000	-0,635
0,1200	-0,567
0,1400	-0,495
0,1600	-0,421
0,1800	-0,346
0,2000	-0,269
0,2200	-0,190
0,2400	-0,112
0,2600	-0,031
0,2800	0,047
0,3000	0,124
0,3200	0,199
0,3400	0,273
0,3600	0,344
0,3800	0,413
0,4000	0,478
0,4200	0,539
0,4400	0,595
0,4600	0,647
0,4800	0,694
0,5000	0,737
0,5200	0,773
0,5400	0,804
0,5600	0,828
0,5800	0,845
0,6000	0,856
0,6200	0,859
0,6400	0,858
0,6600	0,848
0,6800	0,834
0,7000	0,812
0,7200	0,785
0,7400	0,752
0,7600	0,715
0,7800	0,671
0,8000	0,622
0,8200	0,570
0,8400	0,512
0,8600	0,451
0,8800	0,386
0,9000	0,317
0,9200	0,247
0,9400	0,173
0,9600	0,097
0,9800	0,019
1,0000	-0,060
1,0200	-0,138
1,0400	-0,218
1,0600	-0,297
1,0800	-0,375
1,1000	-0,452
1,1200	-0,528
1,1400	-0,602
1,1600	-0,672
1,1800	-0,740
1,2000	-0,803
1,2200	-0,862
1,2400	-0,917
1,2600	-0,966
1,2800	-1,012
1,3000	-1,049
1,3200	-1,082
1,3400	-1,109
1,3600	-1,129
1,3800	-1,142
1,4000	-1,148
1,4200	-1,150
1,4400	-1,144
1,4600	-1,131
1,4800	-1,114
1,5000	-1,092
1,5200	-1,062
1,5400	-1,029
1,5600	-0,990
1,5800	-0,946
1,6000	-0,897
1,6200	-0,844
1,6400	-0,785
1,6600	-0,724
1,6800	-0,658
1,7000	-0,591
1,7200	-0,518
1,7400	-0,445
1,7600	-0,368
1,7800	-0,291
1,8000	-0,212
1,8200	-0,132
1,8400	-0,052
1,8600	0,028
1,8800	0,105
1,9000	0,182
1,9200	0,258
1,9400	0,330
1,9600	0,399
1,9800	0,465
2,0000	0,528
2,0200	0,586
2,0400	0,641
2,0600	0,690
2,0800	0,734
2,1000	0,771
2,1200	0,804
2,1400	0,829
2,1600	0,850
2,1800	0,862
2,2000	0,869
2,2200	0,869
2,2400	0,861
2,2600	0,848
2,2800	0,828
2,3000	0,801
2,3200	0,770
2,3400	0,734
2,3600	0,691
2,3800	0,642
2,4000	0,592
2,4200	0,534
2,4400	0,473
2,4600	0,408
2,4800	0,341
2,5000	0,270
