0.1005	0.080
0.2005	0.080
0.3005	0.080
0.4005	0.080
0.5005	0.080
0.6005	0.081
0.7006	0.085
0.8006	0.094
0.9007	0.105
1.0008	0.119
1.1009	0.135
1.2010	0.152
1.3011	0.169
1.4012	0.182
1.5013	0.194
1.6014	0.203
1.7014	0.209
1.8014	0.210
1.9014	0.205
2.0013	0.198
2.1013	0.187
2.2012	0.174
2.3011	0.158
2.4009	0.141
2.5008	0.125
2.6007	0.110
2.7007	0.097
2.8006	0.087
2.9005	0.081
3.0005	0.079
3.1005	0.081
3.2006	0.087
3.3006	0.096
3.4007	0.109
3.5008	0.124
3.6009	0.140
3.7011	0.157
3.8012	0.174
3.9013	0.187
4.0013	0.198
4.1014	0.206
4.2014	0.211
4.3014	0.210
4.4014	0.205
4.5013	0.196
4.6012	0.184
4.7011	0.170
4.8010	0.153
4.9009	0.135
5.0008	0.119
5.1007	0.104
5.2006	0.092
5.3006	0.083
5.4005	0.078
5.5005	0.077
5.6005	0.080
5.7006	0.088
5.8007	0.099
5.9008	0.113
6.0009	0.129
6.1010	0.146
6.2011	0.165
6.3012	0.180
6.4013	0.193
6.5014	0.204
6.6014	0.211
6.7014	0.214
6.8014	0.211
6.9014	0.204
7.0013	0.193
7.1012	0.180
7.2011	0.165
7.3010	0.146
7.4009	0.128
7.5008	0.112
7.6007	0.098
7.7006	0.086
7.8005	0.079
7.9005	0.075
8.0005	0.076
8.1005	0.081
8.2006	0.090
8.3007	0.103
8.4008	0.119
8.5009	0.136
8.6010	0.154
8.7012	0.172
8.8013	0.187
8.9013	0.200
9.0014	0.210
9.1014	0.216
9.2015	0.217
9.3014	0.211
9.4014	0.202
9.5013	0.190
9.6012	0.175
9.7011	0.157
9.8009	0.138
9.9008	0.120
10.0007	0.104
10.1006	0.091
10.2005	0.080
10.3005	0.074
10.4005	0.073
10.5005	0.075
10.6006	0.083
10.7006	0.094
10.8007	0.109
10.9008	0.126
11.0010	0.144
11.1011	0.164
11.2012	0.181
11.3013	0.195
11.4014	0.207
11.5014	0.216
11.6015	0.219
11.7015	0.217
11.8014	0.209
11.9013	0.198
12.0012	0.184
12.1011	0.167
12.2010	0.148
12.3009	0.129
12.4007	0.111
12.5006	0.096
12.6006	0.083
12.7005	0.075
12.8005	0.071
12.9005	0.071
13.0005	0.077
13.1006	0.087
13.2007	0.100
13.3008	0.117
13.4009	0.135
13.5010	0.154
13.6012	0.174
13.7013	0.190
13.8014	0.203
13.9014	0.214
14.0015	0.220
14.1015	0.221
14.2014	0.215
14.3014	0.205
14.4013	0.192
14.5012	0.176
14.6011	0.157
14.7009	0.137
14.8008	0.119
14.9007	0.102
15.0006	0.088
15.1005	0.077
15.2005	0.071
15.3005	0.069
15.4005	0.072
15.5005	0.081
15.6006	0.093
15.7007	0.108
15.8008	0.126
15.9010	0.145
16.0011	0.166
16.1012	0.183
16.2013	0.198
16.3014	0.211
16.4015	0.220
16.5015	0.222
16.6015	0.220
16.7014	0.211
16.8013	0.199
16.9012	0.184
17.0011	0.167
17.1010	0.146
17.2008	0.126
17.3007	0.109
17.4006	0.093
17.5005	0.080
17.6005	0.072
17.7005	0.069
17.8005	0.070
17.9005	0.076
18.0006	0.087
18.1007	0.101
18.2008	0.118
18.3009	0.137
18.4011	0.157
18.5012	0.176
18.6013	0.192
18.7014	0.206
18.8015	0.217
18.9015	0.223
19.0015	0.223
